memo_id,title,borrower,loan_type,amount,purpose,risk_analysis,recommendation,score,revenue,net_income,ebitda,total_assets,total_debt,current_ratio,dscr,debt_to_ebitda
CM-001,Pet Care Business seeking Working Capital [5],Food Truck,Refinance Loan,"$1,491,120",Refinance Debt,"Excellent: Exceptional financials, low risk, excellent reputation. DSCR above policy minimum; liquidity maintained. Business model proven over a decade with consistent profitability. Business heavily leveraged; recent refinancing attempts unsuccessful. Significant contingent liabilities from outstanding legal claims. Outstanding tax liens discovered in credit review.",Approve on preferred terms; risk is minimal.,5,4361419,753296,900733,7038583,1893593,2.66,1.99,1.19
CM-002,Brewery seeking Equipment Loan [3],Restaurant,Partner Buyout,"$1,775,214",Expansion,"OK: Average risk, adequate financials, fair collateral. Outstanding tax liens discovered in credit review. Growth tied heavily to local market conditions. Applicant lacks relevant industry experience.",Approve with tight covenants and ongoing review.,3,3689428,235616,353951,4943451,4383771,1.3,1.16,2.95
CM-003,Cleaning Service seeking Inventory Loan [3],Food Truck,Startup Capital,"$1,748,468",Renovate Facility,"OK: Average risk, adequate financials, fair collateral. Growth tied heavily to local market conditions. DSCR above policy minimum; liquidity maintained. Collateral consists of recently appraised real estate and new equipment.",Approve with tight covenants and ongoing review.,3,4873651,315104,492012,6687119,6779197,1.32,1.32,3.04
CM-004,Pet Care Business seeking Equipment Loan [3],Hair Salon,CRE Mortgage,"$504,252",Refinance Debt,"OK: Average risk, adequate financials, fair collateral. Significant contingent liabilities from outstanding legal claims. Facility lease expiring next year, renewal terms uncertain. New management team, limited track record in sector. Business heavily leveraged; recent refinancing attempts unsuccessful. Market position strengthened by recent competitive exits.",Approve with tight covenants and ongoing review.,3,1028033,81456,117731,1222332,1271828,1.35,1.11,2.72
CM-005,Private School seeking Refinance Loan [5],Logistics Company,Working Capital,"$583,400",Launch New Business,"Excellent: Exceptional financials, low risk, excellent reputation. Applicant lacks relevant industry experience. Collateral consists of recently appraised real estate and new equipment. Recent investment in technology improving operations. Business experienced a recent operating loss due to market disruption.",Approve on preferred terms; risk is minimal.,5,5162347,1020607,1099267,11714022,2874007,3.69,2.36,0.97
CM-006,Fitness Gym seeking Inventory Loan [4],Consultancy,Refinance Loan,"$839,166",Marketing Campaign,"Good: Solid cash flow, strong collateral, proven business. Growth tied heavily to local market conditions. Market position strengthened by recent competitive exits. Environmental risk due to property location.","Approve, collateral covers downside; monitor quarterly.",4,9047638,867923,1313554,11616457,5994320,2.23,1.52,2.16
CM-007,Food Truck seeking Inventory Loan [4],Cleaning Service,SBA Term Loan,"$808,539",Equipment Purchase,"Good: Solid cash flow, strong collateral, proven business. Facility lease expiring next year, renewal terms uncertain. Outstanding tax liens discovered in credit review. Negative trends in same-store sales, inventory turnover below average. Business experienced a recent operating loss due to market disruption. Significant contingent liabilities from outstanding legal claims.","Approve, collateral covers downside; monitor quarterly.",4,2788884,329383,383965,3649012,2280960,1.94,1.8,2.35
CM-008,Consultancy seeking Revolving LOC [3],Tech Startup,Technology Upgrade Loan,"$1,827,528",Technology Upgrade,"OK: Average risk, adequate financials, fair collateral. Revenue concentration risk with two major customers. Strong historical cash flow and low leverage. Multiple missed payments on previous loans. Management team highly experienced but thin succession plan. Negative trends in same-store sales, inventory turnover below average.",Approve with tight covenants and ongoing review.,3,1980887,91469,215541,2254346,1584809,1.55,1.34,3.01
CM-009,Fitness Gym seeking Refinance Loan [5],Auto Repair Shop,Equipment Loan,"$602,417",Expansion,"Excellent: Exceptional financials, low risk, excellent reputation. New management team, limited track record in sector. Facility lease expiring next year, renewal terms uncertain. Collateral consists of recently appraised real estate and new equipment. Negative trends in same-store sales, inventory turnover below average. Applicant lacks relevant industry experience.",Approve on preferred terms; risk is minimal.,5,6348125,923051,1467200,11169099,2534111,2.83,2.76,0.94
CM-010,Real Estate Developer seeking Inventory Loan [3],Wholesale Distributor,Revolving LOC,"$568,294",Working Capital,"OK: Average risk, adequate financials, fair collateral. Recent investment in technology improving operations. Management team highly experienced but thin succession plan. Growth tied heavily to local market conditions.",Approve with tight covenants and ongoing review.,3,745061,53190,63801,1040266,1106250,1.79,1.35,3.06
CM-011,Auto Repair Shop seeking Refinance Loan [4],Tech Startup,Working Capital,"$333,067",Seasonal Funding,"Good: Solid cash flow, strong collateral, proven business. Business model proven over a decade with consistent profitability. Significant contingent liabilities from outstanding legal claims. Recent investment in technology improving operations. Negative trends in same-store sales, inventory turnover below average.","Approve, collateral covers downside; monitor quarterly.",4,7734505,843409,1032390,15430383,6616634,2.46,1.72,1.6
CM-012,Childcare Center seeking Refinance Loan [3],Cleaning Service,Equipment Loan,"$260,664",Equipment Purchase,"OK: Average risk, adequate financials, fair collateral. Growth tied heavily to local market conditions. Environmental risk due to property location. Recent investment in technology improving operations. New management team, limited track record in sector. Business model proven over a decade with consistent profitability.",Approve with tight covenants and ongoing review.,3,7097334,513522,845273,9591915,6475785,1.46,1.21,3.39
CM-013,Cleaning Service seeking Partner Buyout [4],Landscaping LLC,Partner Buyout,"$1,595,543",Acquire Property,"Good: Solid cash flow, strong collateral, proven business. Collateral consists of recently appraised real estate and new equipment. Outstanding tax liens discovered in credit review. New management team, limited track record in sector. Recent investment in technology improving operations.","Approve, collateral covers downside; monitor quarterly.",4,1865498,175912,324116,3238402,1544230,1.89,1.41,2.31
CM-014,Private School seeking Revolving LOC [1],Fitness Gym,Inventory Loan,"$978,141",Refinance Debt,"Ugly: Severe cash flow issues, poor credit, unproven business. Negative trends in same-store sales, inventory turnover below average. Market position strengthened by recent competitive exits. Management team highly experienced but thin succession plan. Growth tied heavily to local market conditions. Significant contingent liabilities from outstanding legal claims.",Decline; recommend revisiting after operational improvements.,1,1096819,-2047,50903,780657,2908063,0.59,0.81,6.01
CM-015,Pharmacy seeking Partner Buyout [3],Auto Repair Shop,Technology Upgrade Loan,"$302,940",Expansion,"OK: Average risk, adequate financials, fair collateral. Multiple missed payments on previous loans. Market position strengthened by recent competitive exits. Business experienced a recent operating loss due to market disruption. New management team, limited track record in sector. Significant contingent liabilities from outstanding legal claims.",Approve with tight covenants and ongoing review.,3,6034238,343173,582281,5327769,7300929,1.71,1.19,2.89
CM-016,Farm seeking CRE Mortgage [4],Consultancy,Equipment Loan,"$299,777",Seasonal Funding,"Good: Solid cash flow, strong collateral, proven business. Business heavily leveraged; recent refinancing attempts unsuccessful. Recent investment in technology improving operations. Outstanding tax liens discovered in credit review. Collateral consists of recently appraised real estate and new equipment. Revenue concentration risk with two major customers.","Approve, collateral covers downside; monitor quarterly.",4,4516301,472417,616774,8375160,2336976,1.9,1.45,2.34
CM-017,Wholesale Distributor seeking Partner Buyout [2],Hair Salon,Working Capital,"$1,000,452",Working Capital,"Bad: Weak financials, some collateral, questionable repayment. Outstanding tax liens discovered in credit review. Collateral consists of recently appraised real estate and new equipment. DSCR above policy minimum; liquidity maintained.",Conditional approval; reduce loan size or add guarantee.,2,8367447,179666,641607,6914108,14630142,0.83,0.94,4.11
CM-018,Auto Repair Shop seeking Equipment Loan [2],Fitness Gym,SBA Term Loan,"$639,384",Working Capital,"Bad: Weak financials, some collateral, questionable repayment. Growth tied heavily to local market conditions. Revenue concentration risk with two major customers. Strong historical cash flow and low leverage.",Conditional approval; reduce loan size or add guarantee.,2,5422231,96188,283752,3292096,10393354,1.08,0.97,4.64
CM-019,Cleaning Service seeking Technology Upgrade Loan [3],Wholesale Distributor,Inventory Loan,"$1,539,450",Seasonal Funding,"OK: Average risk, adequate financials, fair collateral. Revenue concentration risk with two major customers. Personal and business credit scores above bank thresholds. Growth tied heavily to local market conditions. New management team, limited track record in sector.",Approve with tight covenants and ongoing review.,3,6870264,531086,780667,5944632,6409431,1.41,1.18,2.7
CM-020,Brewery seeking Working Capital [1],Fitness Gym,Startup Capital,"$1,798,958",Working Capital,"Ugly: Severe cash flow issues, poor credit, unproven business. Environmental risk due to property location. New management team, limited track record in sector. Recent investment in technology improving operations. Growth tied heavily to local market conditions. Business experienced a recent operating loss due to market disruption.",Decline; recommend revisiting after operational improvements.,1,7831990,-288765,250425,3140334,23328127,0.64,0.55,6.23
CM-021,Brewery seeking SBA Term Loan [2],Auto Repair Shop,CRE Mortgage,"$929,046",Renovate Facility,"Bad: Weak financials, some collateral, questionable repayment. Business experienced a recent operating loss due to market disruption. Significant contingent liabilities from outstanding legal claims. Business heavily leveraged; recent refinancing attempts unsuccessful. Facility lease expiring next year, renewal terms uncertain.",Conditional approval; reduce loan size or add guarantee.,2,1487294,37347,80712,1353704,2631256,1.03,1.0,4.06
CM-022,Wholesale Distributor seeking SBA Term Loan [5],Wholesale Distributor,Refinance Loan,"$1,495,920",Renovate Facility,"Excellent: Exceptional financials, low risk, excellent reputation. New management team, limited track record in sector. Outstanding tax liens discovered in credit review. Business model proven over a decade with consistent profitability. Collateral consists of recently appraised real estate and new equipment. Personal and business credit scores above bank thresholds.",Approve on preferred terms; risk is minimal.,5,5799377,713953,900279,11619948,3046642,2.6,1.86,1.01
CM-023,Restaurant seeking Working Capital [2],Hair Salon,Refinance Loan,"$1,155,982",Renovate Facility,"Bad: Weak financials, some collateral, questionable repayment. Negative trends in same-store sales, inventory turnover below average. Personal and business credit scores above bank thresholds. Business experienced a recent operating loss due to market disruption. Outstanding tax liens discovered in credit review. Applicant lacks relevant industry experience.",Conditional approval; reduce loan size or add guarantee.,2,4405963,138039,296494,3143646,8305207,1.02,0.96,4.51
CM-024,Landscaping LLC seeking Working Capital [2],Pharmacy,Working Capital,"$638,474",Equipment Purchase,"Bad: Weak financials, some collateral, questionable repayment. DSCR above policy minimum; liquidity maintained. Strong historical cash flow and low leverage. Business experienced a recent operating loss due to market disruption. New management team, limited track record in sector.",Conditional approval; reduce loan size or add guarantee.,2,6492573,165863,484222,6488784,8720096,0.9,0.92,4.96
CM-025,Pharmacy seeking Revolving LOC [5],Hair Salon,Inventory Loan,"$1,178,255",Equipment Purchase,"Excellent: Exceptional financials, low risk, excellent reputation. DSCR above policy minimum; liquidity maintained. Outstanding tax liens discovered in credit review. Business heavily leveraged; recent refinancing attempts unsuccessful. New management team, limited track record in sector.",Approve on preferred terms; risk is minimal.,5,2950530,415232,549601,6083371,1009368,3.25,2.87,0.66
CM-026,Tech Startup seeking Startup Capital [3],Landscaping LLC,Refinance Loan,"$1,860,803",Equipment Purchase,"OK: Average risk, adequate financials, fair collateral. Facility lease expiring next year, renewal terms uncertain. Market position strengthened by recent competitive exits. Outstanding tax liens discovered in credit review. Applicant lacks relevant industry experience. Environmental risk due to property location.",Approve with tight covenants and ongoing review.,3,5667775,379635,626402,6427083,5578224,1.45,1.19,3.13
CM-027,Franchisee seeking Equipment Loan [3],Wholesale Distributor,Revolving LOC,"$1,305,230",Renovate Facility,"OK: Average risk, adequate financials, fair collateral. Applicant lacks relevant industry experience. New management team, limited track record in sector. Outstanding tax liens discovered in credit review. Negative trends in same-store sales, inventory turnover below average.",Approve with tight covenants and ongoing review.,3,3861785,265199,368662,3686311,5192112,1.6,1.22,2.87
CM-028,Logistics Company seeking CRE Mortgage [3],Consultancy,SBA Term Loan,"$1,493,788",Technology Upgrade,"OK: Average risk, adequate financials, fair collateral. Business experienced a recent operating loss due to market disruption. Outstanding tax liens discovered in credit review. Recent investment in technology improving operations. Collateral consists of recently appraised real estate and new equipment. Business heavily leveraged; recent refinancing attempts unsuccessful.",Approve with tight covenants and ongoing review.,3,8663732,630082,839224,8515064,11359982,1.62,1.34,2.66
CM-029,Construction Firm seeking Refinance Loan [1],Retail Store,Refinance Loan,"$1,223,070",Refinance Debt,"Ugly: Severe cash flow issues, poor credit, unproven business. Outstanding tax liens discovered in credit review. Facility lease expiring next year, renewal terms uncertain. Recent investment in technology improving operations. Business experienced a recent operating loss due to market disruption. DSCR above policy minimum; liquidity maintained.",Decline; recommend revisiting after operational improvements.,1,815973,-29038,39518,651710,2357340,0.83,0.71,5.12
CM-030,Dental Practice seeking CRE Mortgage [3],Hair Salon,Revolving LOC,"$660,017",Seasonal Funding,"OK: Average risk, adequate financials, fair collateral. Strong historical cash flow and low leverage. Negative trends in same-store sales, inventory turnover below average. Environmental risk due to property location.",Approve with tight covenants and ongoing review.,3,3608244,273660,318422,4324201,4486037,1.25,1.4,3.13
CM-031,Childcare Center seeking Startup Capital [5],Fitness Gym,Working Capital,"$1,158,623",Launch New Business,"Excellent: Exceptional financials, low risk, excellent reputation. Recent investment in technology improving operations. Collateral consists of recently appraised real estate and new equipment. Applicant lacks relevant industry experience. Market position strengthened by recent competitive exits. Environmental risk due to property location.",Approve on preferred terms; risk is minimal.,5,2301945,391354,420994,5173828,844419,3.88,2.57,0.8
CM-032,Restaurant seeking Refinance Loan [1],Real Estate Developer,Working Capital,"$1,870,428",Equipment Purchase,"Ugly: Severe cash flow issues, poor credit, unproven business. Significant contingent liabilities from outstanding legal claims. Business model proven over a decade with consistent profitability. DSCR above policy minimum; liquidity maintained. Applicant lacks relevant industry experience. Collateral consists of recently appraised real estate and new equipment.",Decline; recommend revisiting after operational improvements.,1,844478,2664,40490,273887,1956636,0.81,0.53,6.66
CM-033,Private School seeking Refinance Loan [4],Pharmacy,CRE Mortgage,"$737,316",Renovate Facility,"Good: Solid cash flow, strong collateral, proven business. DSCR above policy minimum; liquidity maintained. Recent investment in technology improving operations. Collateral consists of recently appraised real estate and new equipment. Revenue concentration risk with two major customers.","Approve, collateral covers downside; monitor quarterly.",4,9285928,954091,1114881,11654001,8785811,1.93,1.66,1.94
CM-034,Construction Firm seeking Working Capital [3],Construction Firm,Inventory Loan,"$1,564,115",Technology Upgrade,"OK: Average risk, adequate financials, fair collateral. DSCR above policy minimum; liquidity maintained. Significant contingent liabilities from outstanding legal claims. Outstanding tax liens discovered in credit review.",Approve with tight covenants and ongoing review.,3,9263505,392793,951717,7794556,7914437,1.27,1.37,3.26
CM-035,Pet Care Business seeking Equipment Loan [4],Auto Repair Shop,Refinance Loan,"$1,693,339",Acquire Property,"Good: Solid cash flow, strong collateral, proven business. Outstanding tax liens discovered in credit review. Market position strengthened by recent competitive exits. Applicant lacks relevant industry experience. Facility lease expiring next year, renewal terms uncertain. Significant contingent liabilities from outstanding legal claims.","Approve, collateral covers downside; monitor quarterly.",4,4616850,546523,673466,6007223,2723983,1.81,1.6,2.04
CM-036,Tech Startup seeking Inventory Loan [3],Retail Store,CRE Mortgage,"$1,583,910",Marketing Campaign,"OK: Average risk, adequate financials, fair collateral. DSCR above policy minimum; liquidity maintained. Outstanding tax liens discovered in credit review. Business experienced a recent operating loss due to market disruption.",Approve with tight covenants and ongoing review.,3,590538,44424,58980,638393,505737,1.53,1.25,3.03
CM-037,Pharmacy seeking SBA Term Loan [3],Hair Salon,CRE Mortgage,"$615,633",Expansion,"OK: Average risk, adequate financials, fair collateral. Facility lease expiring next year, renewal terms uncertain. Market position strengthened by recent competitive exits. Growth tied heavily to local market conditions.",Approve with tight covenants and ongoing review.,3,2960759,202555,237259,3003294,2742439,1.4,1.28,2.68
CM-038,Auto Repair Shop seeking Technology Upgrade Loan [3],Retail Store,CRE Mortgage,"$326,695",Refinance Debt,"OK: Average risk, adequate financials, fair collateral. Revenue concentration risk with two major customers. Multiple missed payments on previous loans. Personal and business credit scores above bank thresholds. Management team highly experienced but thin succession plan. DSCR above policy minimum; liquidity maintained.",Approve with tight covenants and ongoing review.,3,1850901,131008,193883,1988123,1684062,1.3,1.32,3.18
CM-039,Construction Firm seeking Technology Upgrade Loan [3],Hair Salon,CRE Mortgage,"$480,153",Equipment Purchase,"OK: Average risk, adequate financials, fair collateral. Business experienced a recent operating loss due to market disruption. Revenue concentration risk with two major customers. Negative trends in same-store sales, inventory turnover below average.",Approve with tight covenants and ongoing review.,3,8304280,604496,719784,7328608,10185028,1.22,1.23,2.86
CM-040,Private School seeking Inventory Loan [3],Construction Firm,Equipment Loan,"$338,763",Renovate Facility,"OK: Average risk, adequate financials, fair collateral. Negative trends in same-store sales, inventory turnover below average. Business model proven over a decade with consistent profitability. Applicant lacks relevant industry experience. Collateral consists of recently appraised real estate and new equipment.",Approve with tight covenants and ongoing review.,3,7307031,431887,741436,9531785,7749759,1.67,1.39,3.12
CM-041,Tech Startup seeking SBA Term Loan [3],Wholesale Distributor,Startup Capital,"$1,855,719",Launch New Business,"OK: Average risk, adequate financials, fair collateral. Collateral consists of recently appraised real estate and new equipment. Facility lease expiring next year, renewal terms uncertain. Personal and business credit scores above bank thresholds.",Approve with tight covenants and ongoing review.,3,3144566,206158,319643,4456659,3766410,1.55,1.31,3.44
CM-042,Dental Practice seeking Partner Buyout [5],Logistics Company,Equipment Loan,"$1,860,494",Technology Upgrade,"Excellent: Exceptional financials, low risk, excellent reputation. Strong historical cash flow and low leverage. Business model proven over a decade with consistent profitability. Personal and business credit scores above bank thresholds.",Approve on preferred terms; risk is minimal.,5,5458863,802621,1341837,13297790,3058281,3.68,2.22,0.65
CM-043,Pet Care Business seeking Inventory Loan [3],Cleaning Service,Refinance Loan,"$1,068,119",Equipment Purchase,"OK: Average risk, adequate financials, fair collateral. Growth tied heavily to local market conditions. Outstanding tax liens discovered in credit review. DSCR above policy minimum; liquidity maintained.",Approve with tight covenants and ongoing review.,3,5346520,279081,586220,5493732,7411561,1.39,1.3,3.06
CM-044,Pharmacy seeking Refinance Loan [3],Fitness Gym,CRE Mortgage,"$163,643",Seasonal Funding,"OK: Average risk, adequate financials, fair collateral. Strong historical cash flow and low leverage. Revenue concentration risk with two major customers. Negative trends in same-store sales, inventory turnover below average.",Approve with tight covenants and ongoing review.,3,4171907,286344,363912,3872286,5036818,1.27,1.35,2.61
CM-045,Food Truck seeking Technology Upgrade Loan [2],Restaurant,Equipment Loan,"$1,639,213",Buy out Partner,"Bad: Weak financials, some collateral, questionable repayment. Management team highly experienced but thin succession plan. Strong historical cash flow and low leverage. Business experienced a recent operating loss due to market disruption. Market position strengthened by recent competitive exits.",Conditional approval; reduce loan size or add guarantee.,2,7796389,138936,499714,4824230,10949709,0.96,0.93,3.91
CM-046,Franchisee seeking Refinance Loan [4],Farm,Technology Upgrade Loan,"$614,381",Marketing Campaign,"Good: Solid cash flow, strong collateral, proven business. Applicant lacks relevant industry experience. Growth tied heavily to local market conditions. Management team highly experienced but thin succession plan. Revenue concentration risk with two major customers.","Approve, collateral covers downside; monitor quarterly.",4,6273109,661823,1056779,9915071,3424967,2.12,1.52,1.54
CM-047,Childcare Center seeking Refinance Loan [3],Brewery,Revolving LOC,"$1,958,394",Renovate Facility,"OK: Average risk, adequate financials, fair collateral. Outstanding tax liens discovered in credit review. Collateral consists of recently appraised real estate and new equipment. Market position strengthened by recent competitive exits. Business experienced a recent operating loss due to market disruption.",Approve with tight covenants and ongoing review.,3,5112002,272396,559777,5287817,4733865,1.4,1.14,3.39
CM-048,Childcare Center seeking Revolving LOC [1],Farm,Inventory Loan,"$1,478,666",Equipment Purchase,"Ugly: Severe cash flow issues, poor credit, unproven business. Business model proven over a decade with consistent profitability. Personal and business credit scores above bank thresholds. Growth tied heavily to local market conditions.",Decline; recommend revisiting after operational improvements.,1,8650091,-159867,385215,4548573,17528473,0.82,0.85,5.44
CM-049,Food Truck seeking Equipment Loan [4],Hair Salon,Inventory Loan,"$761,266",Renovate Facility,"Good: Solid cash flow, strong collateral, proven business. Growth tied heavily to local market conditions. DSCR above policy minimum; liquidity maintained. Management team highly experienced but thin succession plan. Outstanding tax liens discovered in credit review.","Approve, collateral covers downside; monitor quarterly.",4,1614045,168651,248605,2206719,1403886,1.98,1.63,2.22
CM-050,Landscaping LLC seeking Equipment Loan [5],Franchisee,Technology Upgrade Loan,"$653,656",Marketing Campaign,"Excellent: Exceptional financials, low risk, excellent reputation. Management team highly experienced but thin succession plan. Business experienced a recent operating loss due to market disruption. New management team, limited track record in sector. Business heavily leveraged; recent refinancing attempts unsuccessful.",Approve on preferred terms; risk is minimal.,5,2560880,450468,602708,4431347,1497505,3.29,2.41,1.39
