chunk_id,original_id,chunk_index,chunk_text,chunk_length,title,borrower,loan_type,score,recommendation
CM-001-1,CM-001,1,"Excellent: Exceptional financials, low risk, excellent reputation. DSCR above policy minimum; liquidity maintained. Business model proven over a decade with consistent profitability. Business heavily leveraged; recent refinancing attempts unsuccessful.",252,Pet Care Business seeking Working Capital [5],Food Truck,Refinance Loan,5,Approve on preferred terms; risk is minimal.
CM-001-2,CM-001,2,Significant contingent liabilities from outstanding legal claims. Outstanding tax liens discovered in credit review.,116,Pet Care Business seeking Working Capital [5],Food Truck,Refinance Loan,5,Approve on preferred terms; risk is minimal.
CM-002-1,CM-002,1,"OK: Average risk, adequate financials, fair collateral. Outstanding tax liens discovered in credit review. Growth tied heavily to local market conditions. Applicant lacks relevant industry experience.",200,Brewery seeking Equipment Loan [3],Restaurant,Partner Buyout,3,Approve with tight covenants and ongoing review.
CM-003-1,CM-003,1,"OK: Average risk, adequate financials, fair collateral. Growth tied heavily to local market conditions. DSCR above policy minimum; liquidity maintained. Collateral consists of recently appraised real estate and new equipment.",225,Cleaning Service seeking Inventory Loan [3],Food Truck,Startup Capital,3,Approve with tight covenants and ongoing review.
CM-004-1,CM-004,1,"OK: Average risk, adequate financials, fair collateral. Significant contingent liabilities from outstanding legal claims. Facility lease expiring next year, renewal terms uncertain. New management team, limited track record in sector.",234,Pet Care Business seeking Equipment Loan [3],Hair Salon,CRE Mortgage,3,Approve with tight covenants and ongoing review.
CM-004-2,CM-004,2,Business heavily leveraged; recent refinancing attempts unsuccessful. Market position strengthened by recent competitive exits.,127,Pet Care Business seeking Equipment Loan [3],Hair Salon,CRE Mortgage,3,Approve with tight covenants and ongoing review.
CM-005-1,CM-005,1,"Excellent: Exceptional financials, low risk, excellent reputation. Applicant lacks relevant industry experience. Collateral consists of recently appraised real estate and new equipment. Recent investment in technology improving operations.",239,Private School seeking Refinance Loan [5],Logistics Company,Working Capital,5,Approve on preferred terms; risk is minimal.
CM-005-2,CM-005,2,Business experienced a recent operating loss due to market disruption.,70,Private School seeking Refinance Loan [5],Logistics Company,Working Capital,5,Approve on preferred terms; risk is minimal.
CM-006-1,CM-006,1,"Good: Solid cash flow, strong collateral, proven business. Growth tied heavily to local market conditions. Market position strengthened by recent competitive exits. Environmental risk due to property location.",209,Fitness Gym seeking Inventory Loan [4],Consultancy,Refinance Loan,4,"Approve, collateral covers downside; monitor quarterly."
CM-007-1,CM-007,1,"Good: Solid cash flow, strong collateral, proven business. Facility lease expiring next year, renewal terms uncertain. Outstanding tax liens discovered in credit review. Negative trends in same-store sales, inventory turnover below average.",240,Food Truck seeking Inventory Loan [4],Cleaning Service,SBA Term Loan,4,"Approve, collateral covers downside; monitor quarterly."
CM-007-2,CM-007,2,Business experienced a recent operating loss due to market disruption. Significant contingent liabilities from outstanding legal claims.,136,Food Truck seeking Inventory Loan [4],Cleaning Service,SBA Term Loan,4,"Approve, collateral covers downside; monitor quarterly."
CM-008-1,CM-008,1,"OK: Average risk, adequate financials, fair collateral. Revenue concentration risk with two major customers. Strong historical cash flow and low leverage. Multiple missed payments on previous loans. Management team highly experienced but thin succession plan.",259,Consultancy seeking Revolving LOC [3],Tech Startup,Technology Upgrade Loan,3,Approve with tight covenants and ongoing review.
CM-008-2,CM-008,2,"Negative trends in same-store sales, inventory turnover below average.",70,Consultancy seeking Revolving LOC [3],Tech Startup,Technology Upgrade Loan,3,Approve with tight covenants and ongoing review.
CM-009-1,CM-009,1,"Excellent: Exceptional financials, low risk, excellent reputation. New management team, limited track record in sector. Facility lease expiring next year, renewal terms uncertain. Collateral consists of recently appraised real estate and new equipment.",252,Fitness Gym seeking Refinance Loan [5],Auto Repair Shop,Equipment Loan,5,Approve on preferred terms; risk is minimal.
CM-009-2,CM-009,2,"Negative trends in same-store sales, inventory turnover below average. Applicant lacks relevant industry experience.",116,Fitness Gym seeking Refinance Loan [5],Auto Repair Shop,Equipment Loan,5,Approve on preferred terms; risk is minimal.
CM-010-1,CM-010,1,"OK: Average risk, adequate financials, fair collateral. Recent investment in technology improving operations. Management team highly experienced but thin succession plan. Growth tied heavily to local market conditions.",218,Real Estate Developer seeking Inventory Loan [3],Wholesale Distributor,Revolving LOC,3,Approve with tight covenants and ongoing review.
CM-011-1,CM-011,1,"Good: Solid cash flow, strong collateral, proven business. Business model proven over a decade with consistent profitability. Significant contingent liabilities from outstanding legal claims. Recent investment in technology improving operations.",245,Auto Repair Shop seeking Refinance Loan [4],Tech Startup,Working Capital,4,"Approve, collateral covers downside; monitor quarterly."
CM-011-2,CM-011,2,"Negative trends in same-store sales, inventory turnover below average.",70,Auto Repair Shop seeking Refinance Loan [4],Tech Startup,Working Capital,4,"Approve, collateral covers downside; monitor quarterly."
CM-012-1,CM-012,1,"OK: Average risk, adequate financials, fair collateral. Growth tied heavily to local market conditions. Environmental risk due to property location. Recent investment in technology improving operations. New management team, limited track record in sector.",255,Childcare Center seeking Refinance Loan [3],Cleaning Service,Equipment Loan,3,Approve with tight covenants and ongoing review.
CM-012-2,CM-012,2,Business model proven over a decade with consistent profitability.,66,Childcare Center seeking Refinance Loan [3],Cleaning Service,Equipment Loan,3,Approve with tight covenants and ongoing review.
CM-013-1,CM-013,1,"Good: Solid cash flow, strong collateral, proven business. Collateral consists of recently appraised real estate and new equipment. Outstanding tax liens discovered in credit review. New management team, limited track record in sector. Recent investment in technology improving operations.",289,Cleaning Service seeking Partner Buyout [4],Landscaping LLC,Partner Buyout,4,"Approve, collateral covers downside; monitor quarterly."
CM-014-1,CM-014,1,"Ugly: Severe cash flow issues, poor credit, unproven business. Negative trends in same-store sales, inventory turnover below average. Market position strengthened by recent competitive exits. Management team highly experienced but thin succession plan.",252,Private School seeking Revolving LOC [1],Fitness Gym,Inventory Loan,1,Decline; recommend revisiting after operational improvements.
CM-014-2,CM-014,2,Growth tied heavily to local market conditions. Significant contingent liabilities from outstanding legal claims.,113,Private School seeking Revolving LOC [1],Fitness Gym,Inventory Loan,1,Decline; recommend revisiting after operational improvements.
CM-015-1,CM-015,1,"OK: Average risk, adequate financials, fair collateral. Multiple missed payments on previous loans. Market position strengthened by recent competitive exits. Business experienced a recent operating loss due to market disruption. New management team, limited track record in sector.",281,Pharmacy seeking Partner Buyout [3],Auto Repair Shop,Technology Upgrade Loan,3,Approve with tight covenants and ongoing review.
CM-015-2,CM-015,2,Significant contingent liabilities from outstanding legal claims.,65,Pharmacy seeking Partner Buyout [3],Auto Repair Shop,Technology Upgrade Loan,3,Approve with tight covenants and ongoing review.
CM-016-1,CM-016,1,"Good: Solid cash flow, strong collateral, proven business. Business heavily leveraged; recent refinancing attempts unsuccessful. Recent investment in technology improving operations. Outstanding tax liens discovered in credit review.",233,Farm seeking CRE Mortgage [4],Consultancy,Equipment Loan,4,"Approve, collateral covers downside; monitor quarterly."
CM-016-2,CM-016,2,Collateral consists of recently appraised real estate and new equipment. Revenue concentration risk with two major customers.,125,Farm seeking CRE Mortgage [4],Consultancy,Equipment Loan,4,"Approve, collateral covers downside; monitor quarterly."
CM-017-1,CM-017,1,"Bad: Weak financials, some collateral, questionable repayment. Outstanding tax liens discovered in credit review. Collateral consists of recently appraised real estate and new equipment. DSCR above policy minimum; liquidity maintained.",235,Wholesale Distributor seeking Partner Buyout [2],Hair Salon,Working Capital,2,Conditional approval; reduce loan size or add guarantee.
CM-018-1,CM-018,1,"Bad: Weak financials, some collateral, questionable repayment. Growth tied heavily to local market conditions. Revenue concentration risk with two major customers. Strong historical cash flow and low leverage.",209,Auto Repair Shop seeking Equipment Loan [2],Fitness Gym,SBA Term Loan,2,Conditional approval; reduce loan size or add guarantee.
CM-019-1,CM-019,1,"OK: Average risk, adequate financials, fair collateral. Revenue concentration risk with two major customers. Personal and business credit scores above bank thresholds. Growth tied heavily to local market conditions. New management team, limited track record in sector.",268,Cleaning Service seeking Technology Upgrade Loan [3],Wholesale Distributor,Inventory Loan,3,Approve with tight covenants and ongoing review.
CM-020-1,CM-020,1,"Ugly: Severe cash flow issues, poor credit, unproven business. Environmental risk due to property location. New management team, limited track record in sector. Recent investment in technology improving operations. Growth tied heavily to local market conditions.",262,Brewery seeking Working Capital [1],Fitness Gym,Startup Capital,1,Decline; recommend revisiting after operational improvements.
CM-020-2,CM-020,2,Business experienced a recent operating loss due to market disruption.,70,Brewery seeking Working Capital [1],Fitness Gym,Startup Capital,1,Decline; recommend revisiting after operational improvements.
CM-021-1,CM-021,1,"Bad: Weak financials, some collateral, questionable repayment. Business experienced a recent operating loss due to market disruption. Significant contingent liabilities from outstanding legal claims. Business heavily leveraged; recent refinancing attempts unsuccessful.",269,Brewery seeking SBA Term Loan [2],Auto Repair Shop,CRE Mortgage,2,Conditional approval; reduce loan size or add guarantee.
CM-021-2,CM-021,2,"Facility lease expiring next year, renewal terms uncertain.",59,Brewery seeking SBA Term Loan [2],Auto Repair Shop,CRE Mortgage,2,Conditional approval; reduce loan size or add guarantee.
CM-022-1,CM-022,1,"Excellent: Exceptional financials, low risk, excellent reputation. New management team, limited track record in sector. Outstanding tax liens discovered in credit review. Business model proven over a decade with consistent profitability.",237,Wholesale Distributor seeking SBA Term Loan [5],Wholesale Distributor,Refinance Loan,5,Approve on preferred terms; risk is minimal.
CM-022-2,CM-022,2,Collateral consists of recently appraised real estate and new equipment. Personal and business credit scores above bank thresholds.,131,Wholesale Distributor seeking SBA Term Loan [5],Wholesale Distributor,Refinance Loan,5,Approve on preferred terms; risk is minimal.
CM-023-1,CM-023,1,"Bad: Weak financials, some collateral, questionable repayment. Negative trends in same-store sales, inventory turnover below average. Personal and business credit scores above bank thresholds. Business experienced a recent operating loss due to market disruption.",263,Restaurant seeking Working Capital [2],Hair Salon,Refinance Loan,2,Conditional approval; reduce loan size or add guarantee.
CM-023-2,CM-023,2,Outstanding tax liens discovered in credit review. Applicant lacks relevant industry experience.,96,Restaurant seeking Working Capital [2],Hair Salon,Refinance Loan,2,Conditional approval; reduce loan size or add guarantee.
CM-024-1,CM-024,1,"Bad: Weak financials, some collateral, questionable repayment. DSCR above policy minimum; liquidity maintained. Strong historical cash flow and low leverage. Business experienced a recent operating loss due to market disruption. New management team, limited track record in sector.",281,Landscaping LLC seeking Working Capital [2],Pharmacy,Working Capital,2,Conditional approval; reduce loan size or add guarantee.
CM-025-1,CM-025,1,"Excellent: Exceptional financials, low risk, excellent reputation. DSCR above policy minimum; liquidity maintained. Outstanding tax liens discovered in credit review. Business heavily leveraged; recent refinancing attempts unsuccessful. New management team, limited track record in sector.",289,Pharmacy seeking Revolving LOC [5],Hair Salon,Inventory Loan,5,Approve on preferred terms; risk is minimal.
CM-026-1,CM-026,1,"OK: Average risk, adequate financials, fair collateral. Facility lease expiring next year, renewal terms uncertain. Market position strengthened by recent competitive exits. Outstanding tax liens discovered in credit review. Applicant lacks relevant industry experience.",270,Tech Startup seeking Startup Capital [3],Landscaping LLC,Refinance Loan,3,Approve with tight covenants and ongoing review.
CM-026-2,CM-026,2,Environmental risk due to property location.,44,Tech Startup seeking Startup Capital [3],Landscaping LLC,Refinance Loan,3,Approve with tight covenants and ongoing review.
CM-027-1,CM-027,1,"OK: Average risk, adequate financials, fair collateral. Applicant lacks relevant industry experience. New management team, limited track record in sector. Outstanding tax liens discovered in credit review. Negative trends in same-store sales, inventory turnover below average.",276,Franchisee seeking Equipment Loan [3],Wholesale Distributor,Revolving LOC,3,Approve with tight covenants and ongoing review.
CM-028-1,CM-028,1,"OK: Average risk, adequate financials, fair collateral. Business experienced a recent operating loss due to market disruption. Outstanding tax liens discovered in credit review. Recent investment in technology improving operations.",231,Logistics Company seeking CRE Mortgage [3],Consultancy,SBA Term Loan,3,Approve with tight covenants and ongoing review.
CM-028-2,CM-028,2,Collateral consists of recently appraised real estate and new equipment. Business heavily leveraged; recent refinancing attempts unsuccessful.,142,Logistics Company seeking CRE Mortgage [3],Consultancy,SBA Term Loan,3,Approve with tight covenants and ongoing review.
CM-029-1,CM-029,1,"Ugly: Severe cash flow issues, poor credit, unproven business. Outstanding tax liens discovered in credit review. Facility lease expiring next year, renewal terms uncertain. Recent investment in technology improving operations. Business experienced a recent operating loss due to market disruption.",298,Construction Firm seeking Refinance Loan [1],Retail Store,Refinance Loan,1,Decline; recommend revisiting after operational improvements.
CM-029-2,CM-029,2,DSCR above policy minimum; liquidity maintained.,48,Construction Firm seeking Refinance Loan [1],Retail Store,Refinance Loan,1,Decline; recommend revisiting after operational improvements.
CM-030-1,CM-030,1,"OK: Average risk, adequate financials, fair collateral. Strong historical cash flow and low leverage. Negative trends in same-store sales, inventory turnover below average. Environmental risk due to property location.",217,Dental Practice seeking CRE Mortgage [3],Hair Salon,Revolving LOC,3,Approve with tight covenants and ongoing review.
CM-031-1,CM-031,1,"Excellent: Exceptional financials, low risk, excellent reputation. Recent investment in technology improving operations. Collateral consists of recently appraised real estate and new equipment. Applicant lacks relevant industry experience. Market position strengthened by recent competitive exits.",297,Childcare Center seeking Startup Capital [5],Fitness Gym,Working Capital,5,Approve on preferred terms; risk is minimal.
CM-031-2,CM-031,2,Environmental risk due to property location.,44,Childcare Center seeking Startup Capital [5],Fitness Gym,Working Capital,5,Approve on preferred terms; risk is minimal.
CM-032-1,CM-032,1,"Ugly: Severe cash flow issues, poor credit, unproven business. Significant contingent liabilities from outstanding legal claims. Business model proven over a decade with consistent profitability. DSCR above policy minimum; liquidity maintained. Applicant lacks relevant industry experience.",290,Restaurant seeking Refinance Loan [1],Real Estate Developer,Working Capital,1,Decline; recommend revisiting after operational improvements.
CM-032-2,CM-032,2,Collateral consists of recently appraised real estate and new equipment.,72,Restaurant seeking Refinance Loan [1],Real Estate Developer,Working Capital,1,Decline; recommend revisiting after operational improvements.
CM-033-1,CM-033,1,"Good: Solid cash flow, strong collateral, proven business. DSCR above policy minimum; liquidity maintained. Recent investment in technology improving operations. Collateral consists of recently appraised real estate and new equipment. Revenue concentration risk with two major customers.",287,Private School seeking Refinance Loan [4],Pharmacy,CRE Mortgage,4,"Approve, collateral covers downside; monitor quarterly."
CM-034-1,CM-034,1,"OK: Average risk, adequate financials, fair collateral. DSCR above policy minimum; liquidity maintained. Significant contingent liabilities from outstanding legal claims. Outstanding tax liens discovered in credit review.",221,Construction Firm seeking Working Capital [3],Construction Firm,Inventory Loan,3,Approve with tight covenants and ongoing review.
CM-035-1,CM-035,1,"Good: Solid cash flow, strong collateral, proven business. Outstanding tax liens discovered in credit review. Market position strengthened by recent competitive exits. Applicant lacks relevant industry experience. Facility lease expiring next year, renewal terms uncertain.",273,Pet Care Business seeking Equipment Loan [4],Auto Repair Shop,Refinance Loan,4,"Approve, collateral covers downside; monitor quarterly."
CM-035-2,CM-035,2,Significant contingent liabilities from outstanding legal claims.,65,Pet Care Business seeking Equipment Loan [4],Auto Repair Shop,Refinance Loan,4,"Approve, collateral covers downside; monitor quarterly."
CM-036-1,CM-036,1,"OK: Average risk, adequate financials, fair collateral. DSCR above policy minimum; liquidity maintained. Outstanding tax liens discovered in credit review. Business experienced a recent operating loss due to market disruption.",226,Tech Startup seeking Inventory Loan [3],Retail Store,CRE Mortgage,3,Approve with tight covenants and ongoing review.
CM-037-1,CM-037,1,"OK: Average risk, adequate financials, fair collateral. Facility lease expiring next year, renewal terms uncertain. Market position strengthened by recent competitive exits. Growth tied heavily to local market conditions.",221,Pharmacy seeking SBA Term Loan [3],Hair Salon,CRE Mortgage,3,Approve with tight covenants and ongoing review.
CM-038-1,CM-038,1,"OK: Average risk, adequate financials, fair collateral. Revenue concentration risk with two major customers. Multiple missed payments on previous loans. Personal and business credit scores above bank thresholds. Management team highly experienced but thin succession plan.",272,Auto Repair Shop seeking Technology Upgrade Loan [3],Retail Store,CRE Mortgage,3,Approve with tight covenants and ongoing review.
CM-038-2,CM-038,2,DSCR above policy minimum; liquidity maintained.,48,Auto Repair Shop seeking Technology Upgrade Loan [3],Retail Store,CRE Mortgage,3,Approve with tight covenants and ongoing review.
CM-039-1,CM-039,1,"OK: Average risk, adequate financials, fair collateral. Business experienced a recent operating loss due to market disruption. Revenue concentration risk with two major customers. Negative trends in same-store sales, inventory turnover below average.",250,Construction Firm seeking Technology Upgrade Loan [3],Hair Salon,CRE Mortgage,3,Approve with tight covenants and ongoing review.
CM-040-1,CM-040,1,"OK: Average risk, adequate financials, fair collateral. Negative trends in same-store sales, inventory turnover below average. Business model proven over a decade with consistent profitability. Applicant lacks relevant industry experience.",239,Private School seeking Inventory Loan [3],Construction Firm,Equipment Loan,3,Approve with tight covenants and ongoing review.
CM-040-2,CM-040,2,Collateral consists of recently appraised real estate and new equipment.,72,Private School seeking Inventory Loan [3],Construction Firm,Equipment Loan,3,Approve with tight covenants and ongoing review.
CM-041-1,CM-041,1,"OK: Average risk, adequate financials, fair collateral. Collateral consists of recently appraised real estate and new equipment. Facility lease expiring next year, renewal terms uncertain. Personal and business credit scores above bank thresholds.",247,Tech Startup seeking SBA Term Loan [3],Wholesale Distributor,Startup Capital,3,Approve with tight covenants and ongoing review.
CM-042-1,CM-042,1,"Excellent: Exceptional financials, low risk, excellent reputation. Strong historical cash flow and low leverage. Business model proven over a decade with consistent profitability. Personal and business credit scores above bank thresholds.",238,Dental Practice seeking Partner Buyout [5],Logistics Company,Equipment Loan,5,Approve on preferred terms; risk is minimal.
CM-043-1,CM-043,1,"OK: Average risk, adequate financials, fair collateral. Growth tied heavily to local market conditions. Outstanding tax liens discovered in credit review. DSCR above policy minimum; liquidity maintained.",203,Pet Care Business seeking Inventory Loan [3],Cleaning Service,Refinance Loan,3,Approve with tight covenants and ongoing review.
CM-044-1,CM-044,1,"OK: Average risk, adequate financials, fair collateral. Strong historical cash flow and low leverage. Revenue concentration risk with two major customers. Negative trends in same-store sales, inventory turnover below average.",225,Pharmacy seeking Refinance Loan [3],Fitness Gym,CRE Mortgage,3,Approve with tight covenants and ongoing review.
CM-045-1,CM-045,1,"Bad: Weak financials, some collateral, questionable repayment. Management team highly experienced but thin succession plan. Strong historical cash flow and low leverage. Business experienced a recent operating loss due to market disruption. Market position strengthened by recent competitive exits.",298,Food Truck seeking Technology Upgrade Loan [2],Restaurant,Equipment Loan,2,Conditional approval; reduce loan size or add guarantee.
CM-046-1,CM-046,1,"Good: Solid cash flow, strong collateral, proven business. Applicant lacks relevant industry experience. Growth tied heavily to local market conditions. Management team highly experienced but thin succession plan. Revenue concentration risk with two major customers.",266,Franchisee seeking Refinance Loan [4],Farm,Technology Upgrade Loan,4,"Approve, collateral covers downside; monitor quarterly."
CM-047-1,CM-047,1,"OK: Average risk, adequate financials, fair collateral. Outstanding tax liens discovered in credit review. Collateral consists of recently appraised real estate and new equipment. Market position strengthened by recent competitive exits.",237,Childcare Center seeking Refinance Loan [3],Brewery,Revolving LOC,3,Approve with tight covenants and ongoing review.
CM-047-2,CM-047,2,Business experienced a recent operating loss due to market disruption.,70,Childcare Center seeking Refinance Loan [3],Brewery,Revolving LOC,3,Approve with tight covenants and ongoing review.
CM-048-1,CM-048,1,"Ugly: Severe cash flow issues, poor credit, unproven business. Business model proven over a decade with consistent profitability. Personal and business credit scores above bank thresholds. Growth tied heavily to local market conditions.",236,Childcare Center seeking Revolving LOC [1],Farm,Inventory Loan,1,Decline; recommend revisiting after operational improvements.
CM-049-1,CM-049,1,"Good: Solid cash flow, strong collateral, proven business. Growth tied heavily to local market conditions. DSCR above policy minimum; liquidity maintained. Management team highly experienced but thin succession plan. Outstanding tax liens discovered in credit review.",267,Food Truck seeking Equipment Loan [4],Hair Salon,Inventory Loan,4,"Approve, collateral covers downside; monitor quarterly."
CM-050-1,CM-050,1,"Excellent: Exceptional financials, low risk, excellent reputation. Management team highly experienced but thin succession plan. Business experienced a recent operating loss due to market disruption. New management team, limited track record in sector.",251,Landscaping LLC seeking Equipment Loan [5],Franchisee,Technology Upgrade Loan,5,Approve on preferred terms; risk is minimal.
CM-050-2,CM-050,2,Business heavily leveraged; recent refinancing attempts unsuccessful.,69,Landscaping LLC seeking Equipment Loan [5],Franchisee,Technology Upgrade Loan,5,Approve on preferred terms; risk is minimal.
